State,City,ZipCode,NumberReturns,AdjustedGross Income,IncomeperReturn,SalaryperReturn,TaxPaidperReturn,,
GEORGIA,Atlanta,31150,163,"9,430","$57,853 ","$51,657 ","$11,099 ",,
GEORGIA,Gainesville,30503,"1,075","62,163","$57,826 ","$35,896 ","$13,417 ",,
GEORGIA,Albany,31702,472,"26,837","$56,858 ","$27,944 ","$15,892 ",,
GEORGIA,Atlanta,30357,414,"23,422","$56,575 ","$41,370 ","$11,893 ",,
GEORGIA,,30249,"1,255","70,681","$56,320 ","$50,237 ","$8,119 ",,
GEORGIA,Braselton,30517,"1,883","104,473","$55,482 ","$44,548 ","$11,250 ",,
GEORGIA,Marietta,30066,"23,533","1,303,828","$55,404 ","$50,570 ","$9,585 ",,
GEORGIA,Acworth,30101,"14,415","796,853","$55,279 ","$51,072 ","$9,111 ",,
GEORGIA,Atlanta,30324,"10,983","604,700","$55,058 ","$46,404 ","$11,365 ",,
GEORGIA,,30245,"3,823","210,427","$55,042 ","$47,439 ","$8,691 ",,
GEORGIA,Dacula,30019,"6,158","336,662","$54,671 ","$48,077 ","$8,562 ",,
GEORGIA,Gainesville,30506,"12,425","679,195","$54,664 ","$43,229 ","$10,632 ",,
GEORGIA,,30059,"1,129","61,578","$54,542 ","$50,951 ","$8,848 ",,
GEORGIA,Tyrone,30290,"2,433","132,512","$54,464 ","$49,225 ","$9,102 ",,
GEORGIA,Duluth,30095,239,"12,991","$54,356 ","$39,660 ","$11,574 ",,
GEORGIA,Savannah,31410,"9,718","527,971","$54,329 ","$47,376 ","$9,993 ",,
GEORGIA,Madison,30650,"4,318","234,247","$54,249 ","$29,270 ","$11,761 ",,
GEORGIA,Cumming,30040,"14,533","782,740","$53,859 ","$47,330 ","$9,144 ",,
GEORGIA,Buford,30519,"6,401","344,706","$53,852 ","$47,776 ","$8,469 ",,
GEORGIA,,30128,248,"13,290","$53,589 ","$36,010 ","$9,581 ",,
GEORGIA,Fayetteville,30214,"11,485","614,616","$53,515 ","$46,849 ","$9,370 ",,
GEORGIA,,30203,442,"23,623","$53,446 ","$45,918 ","$7,314 ",,
GEORGIA,Brooks,30205,"1,152","61,451","$53,343 ","$42,852 ","$9,677 ",,
GEORGIA,Greensboro,30642,"3,729","194,184","$52,074 ","$35,079 ","$12,613 ",,
GEORGIA,Atlanta,30308,"5,950","308,468","$51,843 ","$34,477 ","$10,750 ",,
GEORGIA,Atlanta,31146,155,"8,035","$51,839 ","$44,021 ","$9,864 ",,
GEORGIA,Newnan,30265,"6,924","358,592","$51,790 ","$47,740 ","$7,944 ",,
GEORGIA,Sharpsburg,30277,"6,045","312,708","$51,730 ","$47,248 ","$7,334 ",,
GEORGIA,Atlanta,30333,142,"7,343","$51,711 ","$50,912 ","$10,706 ",,
GEORGIA,,30209,"1,385","71,070","$51,314 ","$43,871 ","$6,839 ",,
GEORGIA,Upatoi,31829,368,"18,876","$51,293 ","$39,260 ","$8,500 ",,
GEORGIA,Woodstock,30188,"15,681","803,089","$51,214 ","$45,955 ","$8,383 ",,
GEORGIA,Valdosta,31603,775,"39,625","$51,129 ","$27,486 ","$14,538 ",,
GEORGIA,Kennesaw,30144,"17,316","882,122","$50,943 ","$45,502 ","$8,427 ",,
GEORGIA,,30001,"1,132","56,820","$50,194 ","$42,706 ","$9,039 ",,
GEORGIA,Columbus,31904,"12,465","624,208","$50,077 ","$36,059 ","$10,770 ",,
GEORGIA,Rome,30162,661,"33,100","$50,076 ","$33,395 ","$10,814 ",,
GEORGIA,Macon,31220,"4,342","217,250","$50,035 ","$45,052 ","$8,773 ",,
GEORGIA,Lawrenceville,30043,"16,328","812,664","$49,771 ","$46,924 ","$7,752 ",,
GEORGIA,,30267,321,"15,976","$49,769 ","$46,787 ","$7,666 ",,
GEORGIA,Atlanta,30377,149,"7,404","$49,691 ","$31,321 ","$13,235 ",,
GEORGIA,Jekyll Island,31527,513,"25,484","$49,676 ","$27,938 ","$8,127 ",,
GEORGIA,Decatur,30033,"14,440","716,375","$49,610 ","$41,060 ","$8,907 ",,
GEORGIA,Atlanta,31139,346,"17,140","$49,538 ","$43,450 ","$8,885 ",,
GEORGIA,,30400,22,"1,089","$49,500 ","$37,500 ","$14,625 ",,
GEORGIA,Mcdonough,30252,"6,416","317,436","$49,476 ","$44,555 ","$7,103 ",,
GEORGIA,Macon,31208,805,"39,620","$49,217 ","$36,391 ","$11,186 ",,
GEORGIA,Milledgeville,31062,32,"1,572","$49,125 ","$47,833 ","$9,571 ",,
GEORGIA,Fortson,31808,"2,262","111,067","$49,101 ","$43,907 ","$8,042 ",,
GEORGIA,Duluth,30096,"21,571","1,057,292","$49,015 ","$43,266 ","$8,441 ",,
GEORGIA,Jasper,30143,"6,545","320,455","$48,962 ","$36,470 ","$8,888 ",,
GEORGIA,,30207,"1,188","57,651","$48,528 ","$45,037 ","$7,078 ",,
GEORGIA,Athens,30606,"14,008","679,156","$48,483 ","$36,407 ","$10,524 ",,
GEORGIA,Chestnut Mountain,30502,189,"9,160","$48,466 ","$35,680 ","$6,786 ",,
GEORGIA,,30057,665,"32,192","$48,409 ","$44,755 ","$6,675 ",,
GEORGIA,Dallas,30157,883,"42,528","$48,163 ","$42,125 ","$7,946 ",,
GEORGIA,Augusta,30907,"20,899","1,005,946","$48,134 ","$43,861 ","$8,163 ",,
GEORGIA,Flowery Branch,30542,"8,383","402,967","$48,070 ","$40,051 ","$7,761 ",,
GEORGIA,,30255,354,"16,919","$47,794 ","$41,162 ","$7,737 ",,
GEORGIA,Thomasville,31799,"1,311","62,510","$47,681 ","$27,547 ","$11,032 ",,
GEORGIA,Lawrenceville,30049,"1,048","49,738","$47,460 ","$43,270 ","$6,004 ",,
GEORGIA,Smarr,31086,110,"5,215","$47,409 ","$37,859 ","$8,337 ",,
GEORGIA,Canton,30115,"7,256","343,032","$47,276 ","$42,117 ","$7,730 ",,
GEORGIA,Conyers,30094,"10,018","473,517","$47,267 ","$40,951 ","$7,747 ",,
GEORGIA,Atlanta,30380,10,472,"$47,200 ","$43,400 ","$6,200 ",,
GEORGIA,Atlanta,30360,"6,183","290,417","$46,970 ","$41,503 ","$8,361 ",,
GEORGIA,Powder Springs,30127,"16,711","782,608","$46,832 ","$42,835 ","$7,195 ",,
GEORGIA,Mcdonough,30253,"10,816","502,755","$46,483 ","$40,739 ","$7,457 ",,
GEORGIA,Savannah,31406,"14,937","691,609","$46,302 ","$35,309 ","$8,673 ",,
GEORGIA,Atlanta,30303,"1,746","80,603","$46,164 ","$42,587 ","$33,834 ",,
GEORGIA,Conyers,30013,"7,605","349,961","$46,017 ","$40,581 ","$7,841 ",,
GEORGIA,Watkinsville,30677,"6,045","277,422","$45,893 ","$40,360 ","$7,368 ",,
GEORGIA,Lawrenceville,30046,330,"15,128","$45,842 ","$25,496 ","$11,278 ",,
GEORGIA,Augusta,30909,"15,859","725,392","$45,740 ","$36,760 ","$9,166 ",,
GEORGIA,Savannah,31416,740,"33,791","$45,664 ","$34,078 ","$9,252 ",,
GEORGIA,Snellville,30078,"8,652","394,622","$45,610 ","$40,006 ","$7,766 ",,
GEORGIA,Bellville,30414,111,"5,061","$45,595 ","$46,333 ","$9,213 ",,
GEORGIA,Douglas,31534,"1,337","60,621","$45,341 ","$24,990 ","$13,853 ",,
GEORGIA,Buford,30518,"11,563","523,766","$45,297 ","$40,516 ","$7,461 ",,
GEORGIA,Macon,31202,418,"18,864","$45,129 ","$26,567 ","$14,567 ",,
GEORGIA,Albany,31707,"18,778","843,855","$44,938 ","$36,561 ","$8,480 ",,
GEORGIA,Smyrna,30082,"10,462","470,084","$44,933 ","$39,252 ","$7,922 ",,
GEORGIA,Bethlehem,30620,"2,090","93,797","$44,879 ","$34,689 ","$7,499 ",,
GEORGIA,Richmond Hill,31324,"5,806","259,824","$44,751 ","$40,176 ","$6,806 ",,
GEORGIA,Bogart,30622,"3,167","141,501","$44,680 ","$38,600 ","$8,820 ",,
GEORGIA,Kathleen,31047,"2,146","95,867","$44,672 ","$40,533 ","$7,002 ",,
GEORGIA,Augusta,30903,761,"33,969","$44,637 ","$33,150 ","$12,848 ",,
GEORGIA,Lithia Springs,30122,"6,820","303,968","$44,570 ","$33,088 ","$7,105 ",,
GEORGIA,Bonaire,31005,"4,125","183,468","$44,477 ","$39,944 ","$6,526 ",,
GEORGIA,Acworth,30102,"13,955","617,113","$44,222 ","$41,330 ","$6,818 ",,
GEORGIA,Fairburn,30213,"6,405","282,872","$44,164 ","$37,246 ","$7,516 ",,
GEORGIA,Avondale Estates,30002,"2,877","126,990","$44,140 ","$37,416 ","$7,733 ",,
GEORGIA,Loganville,30052,"11,817","521,412","$44,124 ","$38,308 ","$6,617 ",,
GEORGIA,Morrow,30287,115,"5,073","$44,113 ","$36,075 ","$7,540 ",,
GEORGIA,Statesboro,30459,"1,061","46,653","$43,971 ","$28,223 ","$9,923 ",,
GEORGIA,Douglasville,30133,613,"26,901","$43,884 ","$31,100 ","$7,503 ",,
GEORGIA,Athens,30604,787,"34,524","$43,868 ","$31,012 ","$11,135 ",,
GEORGIA,Douglasville,30135,"18,032","789,953","$43,808 ","$39,767 ","$6,582 ",,
GEORGIA,Howard,31039,35,"1,527","$43,629 ","$27,379 ","$8,154 ",,
GEORGIA,Atlanta,31141,161,"7,006","$43,516 ","$33,388 ","$8,508 ",,
GEORGIA,Tucker,30084,"15,589","677,729","$43,475 ","$37,451 ","$7,290 ",,
GEORGIA,Hamilton,31811,"1,453","62,837","$43,246 ","$36,530 ","$8,095 ",,
GEORGIA,Lovejoy,30250,151,"6,522","$43,192 ","$30,993 ","$9,757 ",,
GEORGIA,Atlanta,31126,92,"3,970","$43,152 ","$30,536 ","$7,321 ",,
GEORGIA,Decatur,30030,"12,299","530,683","$43,148 ","$37,815 ","$7,733 ",,
GEORGIA,,30100,24,"1,033","$43,042 ","$33,381 ","$12,111 ",,
GEORGIA,Bolingbroke,31004,248,"10,660","$42,984 ","$31,679 ","$7,224 ",,
GEORGIA,Lawrenceville,30042,252,"10,824","$42,952 ","$35,440 ","$8,149 ",,
